feature1,feature2
-0.9998961,-0.9898577
-0.006105328,-0.8972577
-0.898408,0.717345
-0.038398936,0.9023528
0.16092367,0.74404305
0.9996404,0.97014785
1.0,0.9999986
0.4100481,0.9816088
-0.9978889,-0.9988324
0.9697766,0.68812793
-1.0,-0.99999964
-0.98865014,0.91361874
-0.99999976,-0.9992526
-1.0,-1.0
-0.9963363,0.49279866
0.3040523,-0.88996625
0.44044173,0.92868006
-0.99999905,-0.9999826
1.0,0.9999864
-0.14712523,0.958044
-0.99999905,-0.99999726
0.39596778,0.6059108
-0.485836,0.9981056
1.0,0.99999917
0.9999963,0.99999803
-0.99998504,-0.9977831
0.9155421,-0.3416965
0.50945204,0.62606454
-0.9999773,-0.9910627
-1.0,-0.99997437
1.0,0.9999973
-1.0,-1.0
